id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Bass Drop City,Voltage,edm,euphoric,0.97,140,0.72,0.95,0.03
12,Late Night Cruisin,K-Flow,hip-hop,chill,0.68,95,0.63,0.85,0.12
13,Porch Swing Summer,River Dust,country,nostalgic,0.44,104,0.78,0.61,0.74
14,Raindrop Sonata,Clara Voss,classical,calm,0.22,66,0.88,0.30,0.97
15,Golden Hour Groove,Silk & Soul,r&b,romantic,0.61,100,0.85,0.76,0.41
16,Iron Curtain,Deadweight,metal,intense,0.96,168,0.31,0.58,0.06
17,Neon Blossom,Drift State,edm,happy,0.89,128,0.80,0.91,0.08
18,Corner Store Dreams,K-Flow,hip-hop,nostalgic,0.55,88,0.69,0.78,0.22
19,Velvet Rain,Silk & Soul,r&b,sad,0.38,82,0.62,0.52,0.58
20,Meadow Lark,River Dust,country,happy,0.50,112,0.83,0.65,0.80
